,,0
video_time_seconds,frame_number,0.9999981097958264
frame_number,video_time_seconds,0.9999981097958264
video_time_seconds,latitude,0.9879056750584562
latitude,video_time_seconds,0.9879056750584562
frame_number,latitude,0.987847060320943
latitude,frame_number,0.987847060320943
imu_accel_magnitude,imu_accel_z,0.9682386818841898
imu_accel_z,imu_accel_magnitude,0.9682386818841898
longitude,latitude,0.9543909681154057
latitude,longitude,0.9543909681154057
longitude,video_time_seconds,0.9535121459540736
video_time_seconds,longitude,0.9535121459540736
longitude,frame_number,0.9533664859178814
frame_number,longitude,0.9533664859178814
gps_satellites,gps_fix_quality,0.8333434208885393
gps_fix_quality,gps_satellites,0.8333434208885393
bbox_y,confidence,0.8214127738347785
confidence,bbox_y,0.8214127738347785
imu_mag_magnitude,imu_mag_z,0.79767400672783
imu_mag_z,imu_mag_magnitude,0.79767400672783
