frame_number,detection_id,tracking_id,manual_timestamp,wall_time_iso,overlay_time,overlay_date,overlay_gps,overlay_accel_g,overlay_gyro_deg_s,overlay_ok,overlay_conf,overlay_ms,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h,position,distance_m,timestamp,system_time,video_time_seconds,latitude,longitude,gps_altitude,gps_speed_kmh,gps_course_degrees,gps_fix_quality,gps_satellites,gps_hdop,imu_accel_x,imu_accel_y,imu_accel_z,imu_accel_magnitude,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_gyro_magnitude,imu_mag_x,imu_mag_y,imu_mag_z,imu_mag_magnitude,imu_temperature,gps_data_age_seconds,imu_data_age_seconds
1,1.0,1.0,16:51:38.000,2025-09-03T00:13:01.099228,,,,,,False,0.0,852.1,truck,0.664,548.0,237.0,115.0,172.0,center,55.0,2025-08-27 16:51:37.829402,51:37.8,3.543,,,,,,0,0,,0.2428,0.4398,9.9249,9.9377,3.375,-2.215,18.142,18.586,-166.81,-392.38,-383.17,573.24,20.58,,-0.017
2,1.0,1.0,16:51:38.100,2025-09-03T00:13:05.142785,,,,,,False,0.0,489.5,truck,0.626,521.4,222.3,121.3,183.9,center,51.5,2025-08-27 16:51:37.953136,51:38.0,3.666,,,,,,0,0,,0.0802,0.1846,9.8454,9.8475,4.38,-6.547,-22.437,23.779,-271.41,323.84,-514.28,665.6,22.54,,0.004
3,1.0,1.0,16:51:38.200,2025-09-03T00:13:05.935467,,,,,,False,0.0,440.2,truck,0.641,501.5,217.2,131.6,191.0,center,49.6,2025-08-27 16:51:38.053314,51:38.1,3.767,,,,,,0,0,,0.3479,-0.2071,9.7144,9.7228,-7.693,-8.626,-12.717,17.184,-274.52,-222.78,-234.93,424.48,29.74,,0.001
4,1.0,1.0,16:51:38.300,2025-09-03T00:13:06.651389,,,,,,False,0.0,435.8,truck,0.644,501.2,214.3,131.9,193.8,center,48.8,2025-08-27 16:51:38.153869,51:38.2,3.867,,,,,,0,0,,-1.0769,-0.4755,10.0695,10.1381,-13.22,-1.281,22.998,26.558,232.58,165.23,-208.76,353.52,21.85,,-0.002
5,1.0,1.0,16:51:38.400,2025-09-03T00:13:07.358209,,,,,,False,0.0,441.4,truck,0.659,494.7,214.8,133.4,193.9,center,48.8,2025-08-27 16:51:38.254435,51:38.3,3.968,,,,,,0,0,,-0.2797,0.4889,9.5991,9.6156,0.338,-9.738,-15.367,18.196,375.75,-9.68,-271.88,463.89,34.67,,-0.004
6,1.0,1.0,16:51:38.500,2025-09-03T00:13:08.068525,,,,,,False,0.0,436.5,truck,0.643,484.4,206.5,138.0,194.7,center,48.6,2025-08-27 16:51:38.355497,51:38.4,4.069,,,,,,0,0,,1.3048,-0.3421,9.7621,9.8549,-9.552,6.609,0.425,11.623,-96.75,-334.61,-267.71,439.32,22.93,,-0.005
6,2.0,1.0,16:51:38.500,2025-09-03T00:13:08.068525,,,,,,False,0.0,436.5,bus,0.592,485.5,204.8,138.0,194.9,center,44.4,2025-08-27 16:51:38.355497,51:38.4,4.069,,,,,,0,0,,1.3048,-0.3421,9.7621,9.8549,-9.552,6.609,0.425,11.623,-96.75,-334.61,-267.71,439.32,22.93,,-0.005
7,2.0,2.0,16:51:38.600,2025-09-03T00:13:08.766881,,,,,,False,0.0,438.7,truck,0.54,192.0,201.0,230.0,179.0,left,52.9,2025-08-27 16:51:38.456505,51:38.5,4.17,,,,,,0,0,,1.3155,0.3176,9.9109,10.0029,-6.394,4.235,-24.375,25.553,-132.87,310.89,-560.84,654.87,24.27,,0.012
7,1.0,1.0,16:51:38.600,2025-09-03T00:13:08.766881,,,,,,False,0.0,438.7,truck,0.587,482.4,193.7,133.8,199.2,center,47.5,2025-08-27 16:51:38.456505,51:38.5,4.17,,,,,,0,0,,1.3155,0.3176,9.9109,10.0029,-6.394,4.235,-24.375,25.553,-132.87,310.89,-560.84,654.87,24.27,,0.012
8,1.0,1.0,16:51:38.700,2025-09-03T00:13:09.474854,,,,,,False,0.0,432.4,truck,0.584,463.2,185.5,140.9,205.4,center,46.1,2025-08-27 16:51:38.557115,51:38.6,4.27,,,,,,0,0,,0.636,0.6272,10.1744,10.2136,-5.757,-2.835,20.497,21.478,303.44,386.3,-579.44,759.64,18.07,,0.007
8,2.0,2.0,16:51:38.700,2025-09-03T00:13:09.474854,,,,,,False,0.0,432.4,truck,0.488,154.2,192.6,244.0,189.5,left,49.9,2025-08-27 16:51:38.557115,51:38.6,4.27,,,,,,0,0,,0.636,0.6272,10.1744,10.2136,-5.757,-2.835,20.497,21.478,303.44,386.3,-579.44,759.64,18.07,,0.007
