frame_number,Timestamp,system_time,video_time_seconds,Latitude,Longitude,gps_altitude,gps_speed_kmh,gps_course_degrees,gps_fix_quality,gps_satellites,gps_hdop,imu_accel_x,imu_accel_y,imu_accel_z,imu_accel_magnitude,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_gyro_magnitude,imu_mag_x,imu_mag_y,imu_mag_z,imu_mag_magnitude,imu_temperature,gps_data_age_seconds,imu_data_age_seconds
0,2025-08-27T16:51:37.409637,51:37.4,3.123,,,,,,0,0,,0.5532,-0.2998,10.1241,10.1436,-0.534,0.827,-3.808,3.933,262.09,223.24,-590.15,683.23,32.98,N/A,-0.003
1,2025-08-27T16:51:37.829402,51:37.8,3.543,,,,,,0,0,,0.2428,0.4398,9.9249,9.9377,3.375,-2.215,18.142,18.586,-166.81,-392.38,-383.17,573.24,20.58,N/A,-0.017
2,2025-08-27T16:51:37.953136,51:38.0,3.666,,,,,,0,0,,0.0802,0.1846,9.8454,9.8475,4.38,-6.547,-22.437,23.779,-271.41,323.84,-514.28,665.6,22.54,N/A,0.004
3,2025-08-27T16:51:38.053314,51:38.1,3.767,,,,,,0,0,,0.3479,-0.2071,9.7144,9.7228,-7.693,-8.626,-12.717,17.184,-274.52,-222.78,-234.93,424.48,29.74,N/A,0.001
4,2025-08-27T16:51:38.153869,51:38.2,3.867,,,,,,0,0,,-1.0769,-0.4755,10.0695,10.1381,-13.22,-1.281,22.998,26.558,232.58,165.23,-208.76,353.52,21.85,N/A,-0.002
5,2025-08-27T16:51:38.254435,51:38.3,3.968,,,,,,0,0,,-0.2797,0.4889,9.5991,9.6156,0.338,-9.738,-15.367,18.196,375.75,-9.68,-271.88,463.89,34.67,N/A,-0.004
6,2025-08-27T16:51:38.355497,51:38.4,4.069,,,,,,0,0,,1.3048,-0.3421,9.7621,9.8549,-9.552,6.609,0.425,11.623,-96.75,-334.61,-267.71,439.32,22.93,N/A,-0.005
7,2025-08-27T16:51:38.456505,51:38.5,4.17,,,,,,0,0,,1.3155,0.3176,9.9109,10.0029,-6.394,4.235,-24.375,25.553,-132.87,310.89,-560.84,654.87,24.27,N/A,0.012
8,2025-08-27T16:51:38.557115,51:38.6,4.27,,,,,,0,0,,0.636,0.6272,10.1744,10.2136,-5.757,-2.835,20.497,21.478,303.44,386.3,-579.44,759.64,18.07,N/A,0.007
9,2025-08-27T16:51:38.657547,51:38.7,4.371,,,,,,0,0,,0.1381,-0.0463,9.8315,9.8326,11.677,-1.86,18.987,22.368,-379.25,-255.6,-248.6,520.54,39.67,N/A,0.004
10,2025-08-27T16:51:38.758214,51:38.8,4.472,,,,,,0,0,,-0.2466,-0.6266,9.8909,9.9138,-9.427,-0.265,-12.595,15.735,275.06,185.79,-569.97,659.57,23.95,N/A,0.002
11,2025-08-27T16:51:38.859243,51:38.9,4.573,,,,,,0,0,,1.6714,-0.2099,10.1303,10.2694,-4.245,-7.092,7.225,10.978,91.23,241.78,-305.26,399.96,33.36,N/A,-0.001
12,2025-08-27T16:51:38.959480,51:39.0,4.673,,,,,,0,0,,0.3675,0.0588,9.5285,9.5357,4.954,2.917,-3.149,6.555,-211.79,-191.15,-398.93,490.45,23.38,N/A,-0.003
13,2025-08-27T16:51:39.059989,51:39.1,4.773,,,,,,0,0,,-0.8703,0.7038,9.8113,9.8749,-7.895,-5.639,-21.348,23.449,238.25,-89.28,-450.65,517.52,38.09,N/A,-0.005
14,2025-08-27T16:51:39.160383,51:39.2,4.874,,,,,,0,0,,-0.0077,-0.6075,9.8766,9.8953,-13.13,8.381,-18.027,23.825,105.97,49.74,-369.22,387.34,33.43,N/A,0.013
15,2025-08-27T16:51:39.260889,51:39.3,4.974,,,,,,0,0,,-0.1853,0.7685,10.0546,10.0857,10.499,-2.582,23.08,25.487,-305.04,-122.98,-428.94,540.52,44.02,N/A,0.01
16,2025-08-27T16:51:39.361329,51:39.4,5.075,,,,,,0,0,,0.0689,-0.0909,9.8184,9.8191,4.852,-3.308,24.745,25.432,394.52,206.44,-230.28,501.29,19.49,N/A,0.008
17,2025-08-27T16:51:39.462158,51:39.5,5.175,,,,,,0,0,,1.3347,0.6744,10.2783,10.3865,-5.904,3.165,-20.502,21.568,7.26,-74.49,-233.51,245.21,43.63,N/A,0.006
18,2025-08-27T16:51:39.563174,51:39.6,5.277,,,,,,0,0,,-0.9989,0.6009,10.2051,10.2714,9.895,-6.978,-21.809,24.944,-387.55,204.74,-567.77,717.27,32,N/A,0.004
19,2025-08-27T16:51:39.663807,51:39.7,5.377,,,,,,0,0,,1.8568,0.3345,10.0081,10.1844,-13.534,-10,-21.167,27.041,127.19,-199.29,-376.17,444.3,44.69,N/A,0
20,2025-08-27T16:51:39.763958,51:39.8,5.477,,,,,,0,0,,1.0986,0.6136,9.7746,9.8553,5.006,-5.731,21.065,22.397,-98.58,-29.15,-449.86,461.45,21.37,N/A,-0.002
21,2025-08-27T16:51:39.864417,51:39.9,5.578,,,,,,0,0,,-0.0022,-0.1594,9.9724,9.9737,9.806,7.801,-17.174,21.259,376.75,-52.44,-482.62,614.5,21.96,N/A,-0.004
22,2025-08-27T16:51:39.965076,51:40.0,5.678,,,,,,0,0,,-0.495,-0.6591,9.7703,9.805,13.739,-8.368,-23.965,28.863,298.37,125.34,-249.08,408.38,26.55,N/A,0.013
23,2025-08-27T16:51:40.065536,51:40.1,5.779,,,,,,0,0,,1.9735,0.3251,9.6732,9.8778,2.184,7.684,3.899,8.89,-246.77,14.18,-506.68,563.76,26.95,N/A,0.01
24,2025-08-27T16:51:40.166515,51:40.2,5.88,,,,,,0,0,,0.8363,0.2924,9.9091,9.9487,-1.71,1.909,23.584,23.723,69.27,-303.48,-407.61,512.88,18.49,N/A,0.009
25,2025-08-27T16:51:40.266677,51:40.3,5.98,,,,,,0,0,,-0.4609,-0.1449,9.7829,9.7948,-1.387,-7.517,-13.905,15.867,-339.48,158.88,-344.94,509.38,22.84,N/A,0.005
26,2025-08-27T16:51:40.366989,51:40.4,6.08,,,,,,0,0,,0.2995,0.3623,10.1346,10.1455,-14.591,3.098,-24.814,28.952,-128.88,-136.93,-334.83,384.02,37.34,N/A,0.004
27,2025-08-27T16:51:40.467850,51:40.5,6.181,,,,,,0,0,,-0.4884,0.4497,9.7844,9.8069,-1.14,5.544,-11.061,12.425,298.83,283.39,-560.2,695.29,43.2,N/A,-0.001
28,2025-08-27T16:51:40.568141,51:40.6,6.281,,,,,,0,0,,-0.1805,0.6897,10.1929,10.2178,-0.707,2.427,6.748,7.206,-369.22,-135.92,-499.84,636.12,31.65,N/A,-0.003
29,2025-08-27T16:51:40.668254,51:40.7,6.382,,,,,,0,0,,-0.7665,-0.3761,9.8812,9.918,-6.589,-9.45,-19.249,22.433,-215.86,131.85,-592.63,644.35,39.88,N/A,-0.005
30,2025-08-27T16:51:40.769309,51:40.8,6.483,,,,,,0,0,,-0.7248,0.5389,9.6644,9.7065,7.73,8.325,-10.999,15.812,-153.44,261.97,-341.4,456.87,20.95,N/A,0.013
31,2025-08-27T16:51:40.869445,51:40.9,6.583,,,,,,0,0,,1.8502,-0.0092,9.7827,9.9561,4.375,9.816,1.696,10.88,370.71,54.87,-559.7,673.58,44.08,N/A,0.01
32,2025-08-27T16:51:40.970029,51:41.0,6.683,,,,,,0,0,,1.2478,0.2174,9.5636,9.6471,2.412,-7.049,4.595,8.754,-316.63,356.85,-449.48,655.46,39.8,N/A,0.008
33,2025-08-27T16:51:41.070353,51:41.1,6.784,,,,,,0,0,,1.0916,0.4094,9.8884,9.9569,5.248,-7.453,-19.244,21.294,83.76,-149.92,-584.67,609.37,31.77,N/A,0.005
34,2025-08-27T16:51:41.171129,51:41.2,6.884,,,,,,0,0,,-0.3391,0.252,9.8885,9.8976,-1.158,-0.367,14.072,14.125,308.82,-102.18,-308.69,448.44,21.64,N/A,0.003
35,2025-08-27T16:51:41.271266,51:41.3,6.985,,,,,,0,0,,-0.7441,-0.2558,9.8239,9.8553,-10.435,-3.421,-18.94,21.893,165.7,-4.01,-205.73,264.19,20.4,N/A,0
36,2025-08-27T16:51:41.371831,51:41.4,7.085,,,,,,0,0,,0.245,-0.4489,9.8067,9.82,5.617,-9.872,-22.603,25.296,132.02,-230.11,-592.61,649.29,34.67,N/A,-0.002
37,2025-08-27T16:51:41.472227,51:41.5,7.186,,,,,,0,0,,1.7178,-0.482,9.9796,10.1378,-12.344,-6.931,-5.622,15.232,140.09,337.46,-218.18,425.56,26.84,N/A,-0.003
38,2025-08-27T16:51:41.572554,51:41.6,7.286,,,,,,0,0,,-0.4404,0.7132,10.0359,10.0708,-11.699,7.098,-13.376,19.135,253.09,-280.14,-467.34,600.79,37.8,N/A,-0.005
39,2025-08-27T16:51:41.673379,51:41.7,7.387,,,,,,0,0,,-0.0831,-0.2575,9.8021,9.8058,12.386,1.729,-15.793,20.145,-97.49,12.97,-498.71,508.31,36.18,N/A,-0.007
40,2025-08-27T16:51:41.773502,51:41.8,7.487,,,,,,0,0,,-1.3577,-0.6878,10.1267,10.2404,1.535,-5.008,14.648,15.557,79.58,-266.21,-256.49,378.14,31.11,N/A,0.011
41,2025-08-27T16:51:41.873529,51:41.9,7.587,,,,,,0,0,,-1.1192,0.8022,9.918,10.0131,-7.21,-3.713,-15.488,17.483,-109.17,354.39,-559.94,671.6,43.88,N/A,0.008
42,2025-08-27T16:51:41.974137,51:42.0,7.687,,,,,,0,0,,-0.1819,0.0202,9.9498,9.9515,-10.677,-3.315,24.113,26.579,-398.41,257.63,-492.21,683.65,38,N/A,0.006
43,2025-08-27T16:51:42.074684,51:42.1,7.788,,,,,,0,0,,0.7458,0.3668,10.1737,10.2076,9.676,-2.225,14.133,17.272,290.53,378.52,-361.3,598.51,35.39,N/A,0.004
44,2025-08-27T16:51:42.175448,51:42.2,7.889,,,,,,0,0,,-0.7384,0.8728,10.1396,10.2038,-12.305,-5.067,-13.881,19.23,282.33,-22.81,-513.15,586.13,39.21,N/A,0.003
45,2025-08-27T16:51:42.276498,51:42.3,7.99,,,,,,0,0,,-1.2702,0.3607,9.8807,9.9685,13.733,-3.252,-5.916,15.303,29.25,134.01,-573.29,589.47,36.84,N/A,0
