frame_number,detection_id,tracking_id,manual_timestamp,wall_time_iso,overlay_time,overlay_date,overlay_gps,overlay_accel_g,overlay_gyro_deg_s,overlay_ok,overlay_conf,overlay_ms,class,confidence,bbox_x,bbox_y,bbox_w,bbox_h,position,distance_m
1,1.0,1.0,16:51:38.000,2025-09-03T00:13:01.099228,,,,,,False,0.0,852.1,truck,0.664,548.0,237.0,115.0,172.0,center,55.0
2,1.0,1.0,16:51:38.100,2025-09-03T00:13:05.142785,,,,,,False,0.0,489.5,truck,0.626,521.4,222.3,121.3,183.9,center,51.5
3,1.0,1.0,16:51:38.200,2025-09-03T00:13:05.935467,,,,,,False,0.0,440.2,truck,0.641,501.5,217.2,131.6,191.0,center,49.6
4,1.0,1.0,16:51:38.300,2025-09-03T00:13:06.651389,,,,,,False,0.0,435.8,truck,0.644,501.2,214.3,131.9,193.8,center,48.8
5,1.0,1.0,16:51:38.400,2025-09-03T00:13:07.358209,,,,,,False,0.0,441.4,truck,0.659,494.7,214.8,133.4,193.9,center,48.8
6,1.0,1.0,16:51:38.500,2025-09-03T00:13:08.068525,,,,,,False,0.0,436.5,truck,0.643,484.4,206.5,138.0,194.7,center,48.6
6,2.0,1.0,16:51:38.500,2025-09-03T00:13:08.068525,,,,,,False,0.0,436.5,bus,0.592,485.5,204.8,138.0,194.9,center,44.4
7,1.0,1.0,16:51:38.600,2025-09-03T00:13:08.766881,,,,,,False,0.0,438.7,truck,0.587,482.4,193.7,133.8,199.2,center,47.5
7,2.0,2.0,16:51:38.600,2025-09-03T00:13:08.766881,,,,,,False,0.0,438.7,truck,0.54,192.0,201.0,230.0,179.0,left,52.9
8,1.0,1.0,16:51:38.700,2025-09-03T00:13:09.474854,,,,,,False,0.0,432.4,truck,0.584,463.2,185.5,140.9,205.4,center,46.1
8,2.0,2.0,16:51:38.700,2025-09-03T00:13:09.474854,,,,,,False,0.0,432.4,truck,0.488,154.2,192.6,244.0,189.5,left,49.9
9,1.0,1.0,16:51:38.800,2025-09-03T00:13:10.179282,,,,,,False,0.0,439.8,truck,0.564,442.8,169.8,145.2,215.6,center,43.9
10,1.0,1.0,16:51:38.900,2025-09-03T00:13:10.884815,,,,,,False,0.0,441.8,truck,0.576,416.3,174.8,147.9,220.1,center,43.0
10,2.0,2.0,16:51:38.900,2025-09-03T00:13:10.884815,,,,,,False,0.0,441.8,truck,0.532,53.3,206.9,276.9,184.2,left,51.4
10,3.0,1.0,16:51:38.900,2025-09-03T00:13:10.884815,,,,,,False,0.0,441.8,person,0.586,405.6,172.1,151.5,227.7,center,20.2
11,1.0,1.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,truck,0.567,378.6,167.1,153.9,225.8,center,41.9
11,2.0,2.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,truck,0.517,18.1,83.8,260.2,305.2,left,31.0
11,3.0,1.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,person,0.511,368.4,167.0,158.9,224.5,center,20.5
11,4.0,2.0,16:51:39.000,2025-09-03T00:13:11.603928,,,,,,False,0.0,437.1,truck,0.482,6.8,173.5,256.6,218.3,left,43.4
12,1.0,1.0,16:51:39.100,2025-09-03T00:13:12.322848,,,,,,False,0.0,436.0,bus,0.522,331.7,162.8,154.8,229.1,left,37.8
12,2.0,1.0,16:51:39.100,2025-09-03T00:13:12.322848,,,,,,False,0.0,436.0,truck,0.462,316.5,161.5,160.5,231.8,left,40.8
13,1.0,1.0,16:51:39.200,2025-09-03T00:13:13.035105,,,,,,False,0.0,436.6,person,0.486,306.4,145.1,160.2,243.8,left,18.9
13,2.0,1.0,16:51:39.200,2025-09-03T00:13:13.035105,,,,,,False,0.0,436.6,bus,0.469,303.3,140.8,164.9,244.7,left,35.4
13,3.0,1.0,16:51:39.200,2025-09-03T00:13:13.035105,,,,,,False,0.0,436.6,truck,0.491,303.1,140.2,164.3,244.2,left,38.8
14,1.0,1.0,16:51:39.300,2025-09-03T00:13:13.752974,,,,,,False,0.0,414.0,bus,0.509,291.1,123.3,165.5,248.3,left,34.9
15,1.0,1.0,16:51:39.400,2025-09-03T00:13:14.446906,,,,,,False,0.0,433.7,bus,0.544,248.3,96.5,163.7,252.3,left,34.3
15,2.0,1.0,16:51:39.400,2025-09-03T00:13:14.446906,,,,,,False,0.0,433.7,person,0.526,235.5,88.4,161.1,253.5,left,18.1
16,,,16:51:39.500,2025-09-03T00:13:15.152276,,,,,,False,0.0,451.7,,,,,,,,
17,,,16:51:39.600,2025-09-03T00:13:15.879864,,,,,,False,0.0,465.3,,,,,,,,
18,,,16:51:39.700,2025-09-03T00:13:16.619459,,,,,,False,0.0,514.2,,,,,,,,
