,gps_speed_kmh,distance_m,imu_accel_magnitude,speed_diff,acceleration_change,trip_distance,overspeed,sudden_acceleration,sudden_braking,high_acceleration,close_object_risk,hour_of_day,night_driving
gps_speed_kmh,1.0,0.1273838024573645,-0.023952930883657617,0.06114465405037552,0.00012149424874007952,0.11562653223459562,0.314801255360657,0.03588288309642956,-0.055539290927288994,0.031863055075298984,0.12749375486050768,,
distance_m,0.1273838024573645,1.0,0.002185383286381869,0.004379094187940604,0.002173632664336722,0.46901373602527235,-0.016226468350723833,-0.02569719966185831,-0.020781975851788703,0.017599390129726437,-0.6949344525087181,,
imu_accel_magnitude,-0.023952930883657617,0.002185383286381869,1.0,0.023073293084311653,0.5384058383558179,0.00949451089273451,-0.024762362268333473,0.021843251183255783,-0.009421591505341428,0.6827294875385549,-0.015766642665616906,,
speed_diff,0.06114465405037552,0.004379094187940604,0.023073293084311653,1.0,0.018817872251454672,-0.00234025642467199,0.022464262804052417,0.5989441456103296,-0.6632596017911285,0.026503545783873875,-0.003590768765854746,,
acceleration_change,0.00012149424874007952,0.002173632664336722,0.5384058383558179,0.018817872251454672,1.0,-0.00883365286683155,0.001903465003455314,0.01924014763343911,-0.02448082889773874,0.3630546532850791,-0.0008191272601520385,,
trip_distance,0.11562653223459562,0.46901373602527235,0.00949451089273451,-0.00234025642467199,-0.00883365286683155,1.0,0.03225273479582144,-0.014734348827185042,-0.016432124118223958,0.024362274503097504,-0.3526546656414916,,
overspeed,0.314801255360657,-0.016226468350723833,-0.024762362268333473,0.022464262804052417,0.001903465003455314,0.03225273479582144,1.0,0.07099315395240453,-0.003840042969082509,-0.015906052603936603,0.02476331723815487,,
sudden_acceleration,0.03588288309642956,-0.02569719966185831,0.021843251183255783,0.5989441456103296,0.01924014763343911,-0.014734348827185042,0.07099315395240453,1.0,-0.0005572721553022374,0.016569020573144137,0.036977875494719245,,
sudden_braking,-0.055539290927288994,-0.020781975851788703,-0.009421591505341428,-0.6632596017911285,-0.02448082889773874,-0.016432124118223958,-0.003840042969082509,-0.0005572721553022374,1.0,-0.012787888618110024,0.025172269861553964,,
high_acceleration,0.031863055075298984,0.017599390129726437,0.6827294875385549,0.026503545783873875,0.3630546532850791,0.024362274503097504,-0.015906052603936603,0.016569020573144137,-0.012787888618110024,1.0,-0.006931727802087569,,
close_object_risk,0.12749375486050768,-0.6949344525087181,-0.015766642665616906,-0.003590768765854746,-0.0008191272601520385,-0.3526546656414916,0.02476331723815487,0.036977875494719245,0.025172269861553964,-0.006931727802087569,1.0,,
hour_of_day,,,,,,,,,,,,,
night_driving,,,,,,,,,,,,,
