,high_risk_event
high_risk_event,1.0
sudden_acceleration,0.70702636874742
speed_diff,0.21744027304205496
overspeed,0.10260460925559063
risk_score,0.09849445462446924
acceleration_change,0.03341617329165276
gps_speed_kmh,0.033376963238180436
close_object_risk,0.026144333035025575
latitude,0.02330111496144644
video_time_seconds,0.020037514374568247
frame_number,0.020000911334027056
imu_data_age_seconds,0.019417495522351155
imu_accel_z,0.016414367152508862
gps_altitude,0.013462151454337656
imu_gyro_magnitude,0.012596511788400775
imu_accel_magnitude,0.012513516396950204
time_diff,0.012009356171388194
imu_gyro_y,0.00977344324720087
imu_mag_magnitude,0.008104481480399885
gps_satellites,0.0075093091073317065
gps_course_degrees,0.0046101494841517135
gps_fix_quality,0.0019039367627368344
sudden_braking,-0.0003940061083673893
imu_mag_x,-0.0007820427665907419
overlay_ms,-0.0010409648537763132
imu_gyro_x,-0.00509122261640982
high_acceleration,-0.0073814116249827305
imu_accel_y,-0.009452230798180286
trip_distance,-0.010417573147142447
imu_accel_x,-0.010484985699590485
gps_hdop,-0.010493947487453843
bbox_w,-0.011651583478451232
gps_data_age_seconds,-0.013948499622991793
tracking_id,-0.015297511616664287
imu_mag_z,-0.016288156163227797
imu_mag_y,-0.01649075799266968
bbox_h,-0.016881004839153196
bbox_x,-0.017232973327239054
distance_m,-0.01816859776390111
imu_temperature,-0.01835997017448972
detection_id,-0.020452423624128187
imu_gyro_z,-0.021710305337788706
bbox_y,-0.022678698646788998
confidence,-0.024783164059414126
longitude,-0.02519256418896846
object_detected,-0.02614433303502554
overlay_ok,
overlay_conf,
hour_of_day,
night_driving,
